scorer,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000
bodyparts,Snout,Snout,Snout,LFL,LFL,LFL,RFL,RFL,RFL,LHL,LHL,LHL,RHL,RHL,RHL,Tailtip,Tailtip,Tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
32,40.36110163,201.3264799,1,16.63046598,212.5987047,1,3.767051324,216.0829804,0.001455818,3.65163365,210.4539742,0.008905519,2.243062377,214.7012305,0.000298109,4.715112388,215.996892,0.00014443
33,44.69714928,200.6603246,1,15.49945593,214.2128286,1,20.27800179,211.0003386,0.0035994,3.196163058,211.8333845,0.040928125,2.68027842,215.2923875,0.000467607,730.4020396,206.2250478,0.003654026
34,44.69714928,200.6603246,1,15.49945593,214.2128286,1,20.27800179,211.0003386,0.0035994,3.196163058,211.8333845,0.040928125,2.68027842,215.2923875,0.000467607,730.4020396,206.2250478,0.003654026
35,49.44259262,201.2003222,1,15.87710977,214.2604544,1,18.26157558,211.3141503,0.074356742,4.20982559,212.5459414,0.029470528,2.511992574,215.74471,0.000608868,724.7092347,207.3234396,0.000500722
36,49.44159985,201.1999145,1,15.87581849,214.2643278,1,18.26464415,211.3129166,0.074689776,4.211049706,212.5482512,0.029599316,2.511938095,215.7471719,0.000608635,724.7076308,207.3234477,0.000501729
37,53.11253738,201.6111178,1,16.22424603,214.8820188,1,18.87650537,212.1249922,0.253974468,4.124074459,213.015276,0.015282677,2.515227795,216.3705308,0.000330313,730.5416209,205.915306,0.002398412
38,53.11253738,201.6111178,1,16.22424603,214.8820188,1,18.87650537,212.1249922,0.253974468,4.124074459,213.015276,0.015282677,2.515227795,216.3705308,0.000330313,730.5416209,205.915306,0.002398412
39,56.97269249,202.7998605,1,16.8382206,215.2045808,1,19.97353077,213.7412623,0.201117069,4.368008226,212.8666754,0.00540193,2.440200567,216.8901825,0.000231061,731.5177653,206.3295054,0.000185689
40,56.9827342,202.7954016,1,16.84212875,215.2522175,1,19.94812393,213.7789335,0.220688269,4.282102883,212.9072514,0.005622862,2.469093084,216.9045975,0.000226691,731.6012169,206.2693772,0.000171907
41,60.43234825,203.5031867,1,19.44033813,214.942632,1,21.44678545,212.4666133,0.008753044,3.765760094,212.201025,0.035011206,1.717503786,217.0078068,0.000921308,729.8448265,206.9860723,0.002044722
42,60.43234825,203.5031867,1,19.44033813,214.942632,1,21.44678545,212.4666133,0.008753044,3.765760094,212.201025,0.035011206,1.717503786,217.0078068,0.000921308,729.8448265,206.9860723,0.002044722
43,64.02763796,203.6683898,1,19.49270439,214.8319898,1,4.793023288,213.024147,0.032133359,3.732256085,212.386445,0.096514151,1.991847277,216.798645,0.001029748,70.54450035,204.1341906,0.000409782
44,64.0335207,203.6952882,1,19.57392454,214.828805,1,4.73860091,213.006086,0.03082023,3.733785301,212.3804007,0.092867531,1.958445311,216.794523,0.001032314,70.55296469,204.1281486,0.000394794
45,66.42287302,204.0473089,1,18.40962839,214.8929689,1,5.612633586,216.3795352,0.024799513,4.389898658,212.6292028,0.171803996,-0.070337772,212.8058209,0.000790404,72.23958588,207.2027216,0.000501223
46,66.42287302,204.0473089,1,18.40962839,214.8929689,1,5.612633586,216.3795352,0.024799513,4.389898658,212.6292028,0.171803996,-0.070337772,212.8058209,0.000790404,72.23958588,207.2027216,0.000501223
47,67.93867509,204.5510054,1,18.76852989,215.3785918,1,16.98385549,212.3090572,0.041509431,5.015810728,213.2918262,0.106358185,0.076518059,213.2697448,0.000847402,729.045583,206.6554296,0.003910913
48,67.93787167,204.565299,1,18.74830532,215.3868816,1,16.94419026,212.3628969,0.043107752,5.015311956,213.2904234,0.108851694,0.094829321,213.2707342,0.000828802,728.9842038,206.6545832,0.003490118
49,70.09250498,204.6554699,1,18.5561862,215.1373785,1,16.81515002,212.3188697,0.70009023,10.61244285,213.7356759,0.508830607,0.665769339,213.2004542,0.000812438,0.372234821,207.7834361,0.000545196
50,70.09250498,204.6554699,1,18.5561862,215.1373785,1,16.81515002,212.3188697,0.70009023,10.61244285,213.7356759,0.508830607,0.665769339,213.2004542,0.000812438,0.372234821,207.7834361,0.000545196
51,72.64546633,203.7735443,1,17.42596173,215.1469266,0.999999762,16.88306141,210.9335738,0.998677552,7.459988117,212.3026553,0.998981535,2.547901154,203.4428463,0.004767979,730.8173828,206.3749042,0.000491617
52,72.65152407,203.7771025,1,17.42532253,215.1747317,0.999999762,16.79647803,210.8655958,0.998860598,7.382930279,212.3331893,0.998961687,2.61459136,203.4300542,0.005157712,730.8673881,206.3638401,0.000440751
53,75.41386747,202.8302593,1,16.56035614,214.8606482,1,14.77089477,207.9198022,0.999947548,6.009618759,211.9258527,0.992468178,3.039191961,201.0474024,0.130016476,729.9043045,207.2730784,0.003566157
54,75.41386747,202.8302593,1,16.56035614,214.8606482,1,14.77089477,207.9198022,0.999947548,6.009618759,211.9258527,0.992468178,3.039191961,201.0474024,0.130016476,729.9043045,207.2730784,0.003566157
55,77.39339733,202.2968946,1,17.73047781,214.9687142,0.983591795,21.71962178,209.2653637,0.999999762,9.531121731,212.0057023,0.999893785,3.984052354,212.264493,0.00645724,729.8755603,206.9200361,0.00227637
56,77.38463521,202.2916512,1,17.72982144,214.9755249,0.983582139,21.71451461,209.2658119,0.999999762,9.526108742,212.008509,0.999893308,3.983789394,212.2682218,0.006460431,729.8690858,206.956898,0.002277295
57,79.04481173,201.9645667,1,17.34318352,213.3377736,0.999781668,29.53830373,207.782366,1,12.9776091,214.2393064,0.99999845,4.785857022,212.7187816,0.006228336,-2.590319633,205.8980526,0.001042774
58,78.89548993,201.899169,1,17.54535294,213.4671443,0.999862671,29.74528813,207.9032402,1,13.02207208,214.2857208,0.999999285,4.722694874,212.5496059,0.005290332,-2.824034691,205.7079773,0.000877752
59,80.93119764,202.3026729,1,17.34696579,214.0500441,0.999999523,37.85170686,208.8630953,1,13.87876487,214.9960659,0.999994397,2.435059309,212.5469517,0.001614495,730.4369031,206.5619471,0.003178837
60,80.98256779,202.3650155,1,17.36984444,214.2341254,0.999998927,38.11997819,208.7947702,1,14.08103561,215.0951259,0.999994516,2.459448457,212.7327538,0.001683811,-1.595845222,206.8923593,0.001151045
61,83.5349741,202.6242146,1,13.32078445,213.8817025,1,44.0952732,211.218575,1,6.860908508,214.0462654,0.999755085,1.364059925,211.5070395,0.000466532,-1.891611099,206.7991717,0.000552338
62,83.61172819,202.6172695,1,13.22560692,213.7022552,1,44.27250642,211.4924154,1,6.285943508,213.9280014,0.999869108,1.622379541,211.5041461,0.000407222,-1.969151497,206.7390566,0.000431268
63,85.99783516,203.6641026,1,12.4901993,213.7115022,0.999999404,46.68027115,214.4841051,1,5.469640732,214.0435817,0.99985826,39.66952658,211.842741,0.000184088,-1.077538967,205.5954151,0.000198761
64,85.98172712,203.6632943,1,12.48866081,213.697389,0.999999404,46.73589563,214.2368517,1,5.485711575,214.0302455,0.999859571,39.68269014,211.8491983,0.000185872,-1.064819336,205.598706,0.000206762
65,88.46446943,204.2859535,1,11.82783991,213.8148444,1,46.80038357,214.4209013,1,4.452208519,213.4935901,0.999055803,35.93407515,211.6622142,0.000212586,96.66556072,205.7052755,0.000235655
66,88.46446943,204.2859535,1,11.82783991,213.8148444,1,46.80038357,214.4209013,1,4.452208519,213.4935901,0.999055803,35.9340751,211.6622142,0.000212586,96.66556072,205.7052755,0.000235655
67,91.09344578,204.8832941,1,12.31899521,214.4912579,1,47.67767096,214.7500732,1,5.673618793,213.8725368,0.980265379,1.231796265,210.7925086,0.000265343,100.3214045,205.7442837,0.000340559
68,91.08043766,204.9450083,1,12.27420574,214.4883058,1,47.66282368,214.736326,1,4.002379649,213.4336081,0.979275823,1.206531286,210.7799945,0.000261122,100.3353038,205.7419224,0.000335726
69,93.00956976,204.6756697,1,14.55990458,213.9025463,0.999999762,47.52215028,214.8822396,1,6.527407169,213.3738667,0.992530763,1.192593336,210.9666562,0.000759644,100.8045077,205.3694386,0.000654543
70,93.12540793,204.7438173,1,14.79207182,213.7866893,0.999999642,47.16195154,214.4662247,1,6.930261612,213.1348454,0.994352221,1.345094204,210.9734912,0.000842122,100.8227329,205.3531828,0.000682327
71,95.87493324,205.0179262,1,11.69339684,214.2944074,1,48.02210617,215.2510109,1,3.235538244,211.2458735,0.994787812,40.02549887,211.8567867,0.000415279,102.9436655,207.7030334,0.000514509
72,95.87854099,204.9755707,1,11.86706576,214.3814645,1,48.1369195,215.3958099,1,3.141315281,211.4227829,0.995070815,40.04870844,212.0564942,0.00030936,102.8545423,207.7441587,0.000574889
73,98.78440857,205.5702219,1,15.85995054,212.8573924,1,47.74977636,215.5411148,1,11.82259545,210.4109685,1,6.519777536,213.2023325,0.000687199,730.0568372,207.5984049,0.001013784
74,98.78440857,205.5702219,1,15.85995007,212.8573924,1,47.74977636,215.5411148,1,11.82259545,210.4109685,1,6.519777536,213.2023325,0.000687199,730.0568372,207.5984049,0.001013784
75,101.2711066,206.4016848,1,16.46223307,211.9240759,1,46.75825739,215.7616131,1,18.18629456,213.4849615,1,37.40700912,212.8698677,0.00110648,-4.103550911,206.7219696,0.00054601
76,101.2939898,206.3041716,1,16.44104624,211.9658557,1,46.73943853,215.7682247,1,18.15363216,213.5056682,1,37.41439295,212.8878372,0.001006931,-4.093153954,206.759064,0.000547602
77,103.9894068,205.7510204,1,17.71942568,212.033512,1,45.73639297,214.9643815,1,19.15680408,214.8272474,1,38.026124,212.3602486,0.004733664,-3.91530323,206.9889414,0.000363208
78,103.9894068,205.7510204,1,17.71942568,212.033512,1,45.73639297,214.9643815,1,19.15680408,214.8272474,1,38.026124,212.3602486,0.004733664,-3.91530323,206.9889414,0.000363208
79,106.6887164,205.5468349,1,19.0347414,212.2643331,1,46.70290542,215.8845949,1,20.39305973,215.2020159,1,38.98145342,212.3345037,0.008876774,115.6269178,205.2713757,0.000313062
80,106.693728,205.5470352,1,19.02602339,212.2604145,1,46.74300885,215.8954773,1,20.36711121,215.1868689,1,39.03256845,212.3484812,0.008931339,115.6280985,205.271852,0.000312772
81,109.2388215,204.9105692,1,18.81364489,211.1383421,0.999999762,45.11992705,215.291131,1,18.94990623,213.8250122,1,37.45331192,212.1427493,0.003016194,116.2138519,205.1412935,0.001292702
